Source;Destination;Length;Source Address;Destination Address;Source.1;Destination.1;Address_Resolution_Protocol;Internet_Control_Message_Protocol;Transmission_Control_Protocol;Info;label
10.0.123.2;10.0.123.3;150;221.66.75.4;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;2;1
10.0.123.2;10.0.123.3;150;127.72.58.8;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;2;1
10.0.123.2;10.0.123.3;150;0.84.105.164;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;2;1
10.0.123.2;10.0.123.3;150;28.124.3.105;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;2;1
10.0.123.2;10.0.123.3;150;117.159.199.158;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;2;1
10.0.123.2;10.0.123.3;150;124.129.175.156;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;2;1
10.0.123.2;10.0.123.3;150;34.95.59.199;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;2;1
10.0.123.2;10.0.123.3;162;39.95.0.140;10.0.0.4;2a:c5:0d:c8:c4:4b;ba:47:81:ad:3a:e7;0;0;1;2;1
10.0.123.2;10.0.123.3;150;29.50.162.174;10.0.0.23;96:06:9b:c8:8f:33;26:ed:57:4a:6a:84;0;1;0;2;1
10.0.123.2;10.0.123.3;150;232.17.113.126;10.0.0.23;96:06:9b:c8:8f:33;26:ed:57:4a:6a:84;0;1;0;2;1
10.0.123.2;10.0.123.3;150;52.248.17.73;10.0.0.23;96:06:9b:c8:8f:33;26:ed:57:4a:6a:84;0;1;0;2;1
10.0.123.2;10.0.123.3;150;31.86.137.25;10.0.0.23;96:06:9b:c8:8f:33;26:ed:57:4a:6a:84;0;1;0;2;1
10.0.123.2;10.0.123.3;150;52.178.229.181;10.0.0.23;96:06:9b:c8:8f:33;26:ed:57:4a:6a:84;0;1;0;2;1
